,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
0,,13.0,41.983636307,-87.723583185,,32.0,41.878865584,-87.625192142,2,0.5,1620.0
1,504.0,32.0,41.884987192,-87.620992913,,8.0,41.898331794,-87.620762865,2,1.3,420.0
2,,24.0,41.901206994,-87.676355989,,14.0,41.968069,-87.721559063,4,5.8,900.0
3,,24.0,41.901206994,-87.676355989,,6.0,41.944226601,-87.655998182,6,0.2,960.0
4,225.0,8.0,41.892042136,-87.63186395,,8.0,41.899155613,-87.626210532,1,1.0,540.0
5,,8.0,41.899602111,-87.633308037,,6.0,41.944226601,-87.655998182,1,2.8,360.0
6,911.0,8.0,41.890922026,-87.618868355,,8.0,41.892072635,-87.628874157,2,0.9,360.0
7,878.0,6.0,41.953400044,-87.646007066,,32.0,41.884987192,-87.620992913,7,0.3,1200.0
8,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,0,3.7,600.0
9,886.0,6.0,41.942577185,-87.647078509,,32.0,41.884987192,-87.620992913,0,4.4,660.0
10,,22.0,41.92276062,-87.699155343,,32.0,41.878865584,-87.625192142,2,5.3,960.0
11,225.0,8.0,41.892042136,-87.63186395,,32.0,41.880994471,-87.632746489,1,0.0,420.0
12,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.898331794,-87.620762865,1,2.9,720.0
13,40.0,28.0,41.885300022,-87.642808466,,24.0,41.89967018,-87.669837798,1,2.2,480.0
14,504.0,32.0,41.884987192,-87.620992913,,8.0,41.905857769,-87.630865027,1,5.9,1200.0
15,,21.0,41.938666196,-87.711210593,,4.0,41.975170943,-87.687515515,5,2.6,720.0
16,334.0,8.0,41.899155613,-87.626210532,,8.0,41.892507781,-87.626214906,2,0.5,360.0
17,504.0,32.0,41.884987192,-87.620992913,,8.0,41.90749193,-87.63576009,4,2.1,660.0
18,512.0,7.0,41.914747305,-87.654007029,,32.0,41.884987192,-87.620992913,0,4.4,1140.0
19,911.0,8.0,41.890922026,-87.618868355,,28.0,41.88528132,-87.6572332,0,2.2,780.0
20,,60.0,41.836150155,-87.648787952,,32.0,41.878865584,-87.625192142,3,3.9,900.0
21,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,2,4.3,660.0
22,792.0,8.0,41.89321636,-87.63784421,,32.0,41.880994471,-87.632746489,3,1.0,360.0
23,16.0,32.0,41.880994471,-87.632746489,,8.0,41.900221297,-87.629105186,3,1.7,480.0
24,886.0,6.0,41.942577185,-87.647078509,,6.0,41.945282331,-87.661545096,2,1.1,360.0
25,,28.0,41.874005383,-87.66351755,,7.0,41.922686284,-87.649488729,2,3.58,917.0
26,1046.0,33.0,41.859349715,-87.617358006,,32.0,41.877406123,-87.621971652,4,0.0,360.0
27,787.0,8.0,41.898331794,-87.620762865,,8.0,41.90749193,-87.63576009,3,1.4,540.0
28,275.0,24.0,41.899422254,-87.684490122,,22.0,41.921125914,-87.699754406,1,2.13,600.0
29,970.0,8.0,41.892507781,-87.626214906,,32.0,41.880994471,-87.632746489,3,0.0,420.0
30,1023.0,3.0,41.965445784,-87.66319585,,8.0,41.890922026,-87.618868355,1,6.1,720.0
31,512.0,7.0,41.914747305,-87.654007029,,8.0,41.892042136,-87.63186395,3,0.0,660.0
32,911.0,8.0,41.890922026,-87.618868355,,32.0,41.880994471,-87.632746489,2,1.4,420.0
33,752.0,24.0,41.892536872,-87.659864318,,8.0,41.892042136,-87.63186395,1,2.0,540.0
