,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
0,,3.0,41.96581197,-87.655878786,,8.0,41.899602111,-87.633308037,0,6.5,1140.0
1,40.0,28.0,41.885300022,-87.642808466,,8.0,41.904935302,-87.649907226,2,1.9,360.0
2,1101.0,24.0,41.906025969,-87.675311622,,7.0,41.929046937,-87.651310877,2,4.0,1260.0
3,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,11,2.7,720.0
4,,4.0,41.975170943,-87.687515515,,6.0,41.944226601,-87.655998182,0,2.9,540.0
5,40.0,28.0,41.885300022,-87.642808466,,24.0,41.89967018,-87.669837798,7,1.7,420.0
6,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,1,4.2,900.0
7,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,7,2.4,660.0
8,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,0,2.2,720.0
9,,14.0,41.968069,-87.721559063,,24.0,41.901206994,-87.676355989,5,0.4,1200.0
10,,6.0,41.944226601,-87.655998182,,5.0,41.947791586,-87.683834942,9,0.0,420.0
11,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,11,0.2,1080.0
12,,6.0,41.944226601,-87.655998182,,22.0,41.92276062,-87.699155343,17,5.1,1020.0
13,,8.0,41.899602111,-87.633308037,,32.0,41.878865584,-87.625192142,1,1.2,360.0
14,225.0,8.0,41.892042136,-87.63186395,,6.0,41.942691844,-87.651770507,0,4.2,720.0
15,,28.0,41.874005383,-87.66351755,,6.0,41.944226601,-87.655998182,4,0.0,1260.0
16,313.0,76.0,41.97907082,-87.903039661,,77.0,41.991234532,-87.65730427,7,16.4,2880.0
17,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,5,3.0,600.0
18,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,0,4.2,780.0
19,498.0,8.0,41.891971508,-87.612945414,,8.0,41.892042136,-87.63186395,7,2.3,600.0
20,,28.0,41.874005383,-87.66351755,,24.0,41.901206994,-87.676355989,11,3.1,540.0
21,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,4,1.99,427.0
22,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,7,2.9,660.0
23,504.0,32.0,41.884987192,-87.620992913,,6.0,41.936237179,-87.656411531,4,5.1,600.0
24,313.0,76.0,41.97907082,-87.903039661,,8.0,41.892507781,-87.626214906,1,17.9,1440.0
25,694.0,7.0,41.929077655,-87.646293476,,8.0,41.905857769,-87.630865027,1,2.0,480.0
26,1051.0,6.0,41.949220914,-87.651970395,,24.0,41.899506548,-87.679600287,16,0.6,2520.0
27,926.0,24.0,41.899737388,-87.664953917,,22.0,41.928431564,-87.699968591,3,3.4,480.0
28,,1.0,42.009622881,-87.670166857,,6.0,41.944226601,-87.655998182,11,6.5,1260.0
29,179.0,32.0,41.870607372,-87.622172937,,8.0,41.892042136,-87.63186395,3,2.1,540.0
30,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,1,3.1,780.0
31,,23.0,41.900069603,-87.720918238,,7.0,41.922686284,-87.649488729,7,4.6,720.0
32,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,15,2.6,720.0
